                 Age (BP)                  Sample_1                  Sample_2                  Sample_3                  Sample_4                  Sample_5                  Sample_6                  Sample_7                  Sample_8                  Sample_9                 Sample_10                 Sample_11                 Sample_12                 Sample_13                 Sample_14                 Sample_15                 Sample_16                 Sample_17                 Sample_18                 Sample_19 
                        0                         0                         0                         0                         0                         0                         0                         0                         0              7.13677e-311              4.64607e-300              9.01035e-292              3.57975e-239              1.46851e-233              5.83291e-204              2.32097e-148                         0                         0                         0               1.15898e-34 
                       10                         0                         0                         0                         0                         0                         0                         0                         0              4.37285e-311              3.09738e-300               6.0069e-292               2.3865e-239              9.79004e-234              3.88861e-204              1.54731e-148              1.79794e-111               4.63102e-98               1.04634e-82               7.72655e-35 
                       20                         0                         0                         0                         0                         0                         0                         0                         0              2.10641e-310              1.39382e-299               2.7031e-291              1.07392e-238               4.4055e-233              1.74987e-203              6.96289e-148              8.63012e-111               2.22288e-97               5.02244e-82               3.47694e-34 
                       30                         0                         0                         0                         0                         0                         0                         0                         0              1.96367e-310               1.3009e-299              2.52289e-291              1.00233e-238               4.1118e-233              1.63321e-203               6.4987e-148               1.1327e-109               2.91753e-96               6.59193e-81               3.24514e-34 
                       40                         0                         0                         0                         0                         0                         0                         0                         0              2.77912e-309              1.81196e-298              3.51402e-290               1.3961e-237              5.72715e-232              2.27483e-202              9.05176e-147              1.12191e-109               2.88974e-96               6.52915e-81               4.52002e-33 
                       50                         0                         0                         0                         0                         0                         0                         0                         0              2.76715e-309              1.80267e-298                3.496e-290              1.38894e-237              5.69778e-232              2.26316e-202              9.00534e-147              1.56961e-108               4.04289e-95               9.13459e-80               4.49684e-33 
                       60                         0                         0                         0                         0                         0                         0                         0                         0              3.87568e-308              2.52282e-297              4.89264e-289              1.94381e-236              7.97401e-231              3.16728e-201              1.26029e-145              1.56206e-108               4.02344e-95               9.09064e-80               6.29329e-32 
                       70                         0                         0                         0                         0                         0                         0                         0                         0              3.85724e-308              2.51075e-297              4.86921e-289               1.9345e-236              7.93583e-231              3.15211e-201              1.25426e-145              2.18612e-107               5.63087e-94               1.27225e-78               6.26316e-32 
                       80                         0                         0                         0                         0                         0                         0                         0                         0              5.39849e-307              3.51384e-296              6.81455e-288              2.70738e-235              1.11064e-229              4.41144e-200              1.75536e-144              2.17566e-107               5.60392e-94               1.26616e-78               8.76542e-31 
                       90                         0                         0                         0                         0                         0                         0                         0                         0              5.37266e-307              3.49702e-296              6.78193e-288              2.69442e-235              1.10532e-229              4.39033e-200              1.74696e-144              3.04488e-106               7.84279e-93               1.77202e-77               8.72347e-31 
                      100                         0                         0                         0                         0                         0                         0                         0                         0              7.51914e-306              4.89414e-295              9.49145e-287              3.77089e-234              1.54691e-228              6.14435e-199               2.4449e-143              3.03031e-106               7.80525e-93               1.76353e-77               1.22086e-29 
                      110                         0                         0                         0                         0                         0                         0                         0                         0              7.48315e-306              4.87072e-295              9.44602e-287              3.75284e-234              1.53951e-228              6.11494e-199              2.43319e-143              4.24092e-105               1.09234e-91               2.46807e-76               1.21502e-29 
                      120                         0                         0                         0                         0                         0                         0                         0                         0              1.04727e-304              6.81657e-294              1.32197e-285               5.2521e-233              2.15454e-227              8.55786e-198              3.40526e-142              4.22062e-105               1.08712e-91               2.45625e-76               1.70042e-28 
                      130                         0                         0                         0                         0                         0                         0                         0                         0              1.04225e-304              6.78395e-294              1.31564e-285              5.22696e-233              2.14423e-227               8.5169e-198              3.38896e-142              5.90682e-104               1.52144e-90               3.43757e-75               1.69228e-28 
                      140                         0                         0                         0                         0                         0                         0                         0                         0              1.45865e-303              9.49426e-293              1.84127e-284              7.31522e-232              3.00089e-226              1.19196e-196              4.74291e-141              5.87855e-104               1.51416e-90               3.42112e-75               2.36838e-27 
                      150                         0                         0                         0                         0                         0                         0                         0                         0              1.45167e-303              9.44881e-293              1.83245e-284              7.28021e-232              2.98653e-226              1.18625e-196               4.7202e-141              8.22715e-103               2.11909e-89               4.78792e-74               2.35705e-27 
                      160                         0                         0                         0                         0                         0                         0                         0                         0              2.03164e-302              1.32238e-291              2.56455e-283              1.01888e-230               4.1797e-225              1.66018e-195              6.60602e-140              8.18777e-103               2.10895e-89                 4.765e-74               3.29873e-26 
                      170                         0                         0                         0                         0                         0                         0                         0                         0              2.02192e-302              1.31605e-291              2.55228e-283                1.014e-230               4.1597e-225              1.65223e-195               6.5744e-140              1.14589e-101               2.95151e-88               6.66871e-73               3.28294e-26 
                      180                         0                         0                         0                         0                         0                         0                         0                         0              2.82971e-301              1.84184e-290              3.57196e-282              1.41912e-229              5.82158e-224              2.31233e-194                9.201e-139              1.14041e-101               2.93738e-88               6.63679e-73               4.59454e-25 
