                 MCMC no.              Sample_1(BP)              Sample_2(BP)              Sample_3(BP)              Sample_4(BP)              Sample_5(BP)              Sample_6(BP)              Sample_7(BP)              Sample_8(BP)              Sample_9(BP)             Sample_10(BP)             Sample_11(BP)             Sample_12(BP)             Sample_13(BP)             Sample_14(BP)             Sample_15(BP)             Sample_16(BP)             Sample_17(BP)             Sample_18(BP)             Sample_19(BP) 
                        1                     14334                     13054                     12020                     10024                      9681                      9239                      8843                      6261                      5458                      5262                      5183                      4214                      4097                      3604                      2609                      2028                      1689                      1495                       611 
                        2                     14331                     13064                     12017                     10029                      9683                      9244                      8847                      6271                      5453                      5260                      5179                      4213                      4101                      3605                      2605                      2031                      1683                      1496                       617 
                        3                     14330                     13075                     12018                     10034                      9689                      9234                      8851                      6272                      5448                      5259                      5175                      4226                      4099                      3610                      2614                      2025                      1681                      1490                       614 
                        4                     14323                     13076                     12020                     10032                      9693                      9239                      8849                      6272                      5434                      5257                      5173                      4218                      4097                      3611                      2625                      2029                      1677                      1482                       615 
                        5                     14327                     13074                     12016                     10037                      9688                      9230                      8855                      6272                      5420                      5260                      5176                      4219                      4093                      3617                      2627                      2030                      1675                      1485                       610 
                        6                     14324                     13081                     12021                     10048                      9682                      9228                      8861                      6265                      5412                      5251                      5174                      4220                      4088                      3607                      2629                      2025                      1672                      1482                       624 
                        7                     14334                     13080                     12027                     10045                      9683                      9217                      8857                      6271                      5417                      5254                      5177                      4223                      4109                      3606                      2627                      2032                      1676                      1488                       619 
                        8                     14329                     13080                     12037                     10042                      9693                      9218                      8853                      6276                      5416                      5265                      5164                      4223                      4105                      3620                      2630                      2034                      1677                      1480                       614 
                        9                     14332                     13074                     12040                     10046                      9701                      9222                      8845                      6261                      5419                      5257                      5155                      4226                      4105                      3629                      2627                      2032                      1677                      1477                       613 
                       10                     14325                     13073                     12039                     10047                      9698                      9238                      8854                      6261                      5427                      5258                      5153                      4227                      4106                      3621                      2627                      2037                      1678                      1467                       607 
                       11                     14318                     13072                     12037                     10051                      9696                      9239                      8856                      6265                      5426                      5262                      5156                      4222                      4104                      3620                      2629                      2038                      1678                      1466                       609 
                       12                     14321                     13067                     12038                     10043                      9698                      9236                      8848                      6273                      5414                      5259                      5156                      4223                      4106                      3628                      2631                      2043                      1685                      1477                       605 
                       13                     14317                     13054                     12039                     10042                      9700                      9231                      8857                      6270                      5408                      5262                      5152                      4216                      4105                      3620                      2627                      2041                      1691                      1470                       600 
                       14                     14320                     13052                     12041                     10034                      9705                      9234                      8859                      6260                      5409                      5269                      5151                      4220                      4102                      3621                      2621                      2045                      1699                      1462                       599 
                       15                     14319                     13055                     12030                     10034                      9709                      9231                      8866                      6257                      5414                      5263                      5152                      4225                      4103                      3605                      2624                      2034                      1701                      1461                       608 
                       16                     14327                     13048                     12028                     10021                      9708                      9223                      8869                      6263                      5415                      5264                      5149                      4217                      4095                      3598                      2620                      2035                      1704                      1471                       613 
                       17                     14324                     13051                     12033                     10022                      9710                      9226                      8875                      6259                      5418                      5262                      5153                      4219                      4086                      3607                      2625                      2024                      1700                      1479                       604 
                       18                     14324                     13054                     12037                     10023                      9712                      9220                      8872                      6263                      5416                      5267                      5146                      4222                      4094                      3607                      2624                      2031                      1702                      1486                       601 
                       19                     14327                     13055                     12031                     10017                      9706                      9214                      8871                      6264                      5423                      5253                      5145                      4214                      4100                      3606                      2628                      2024                      1702                      1497                       607 
                       20                     14321                     13056                     12032                     10018                      9705                      9211                      8881                      6256                      5423                      5244                      5146                      4217                      4098                      3603                      2630                      2025                      1704                      1495                       604 
