         Cal_age(BP)     Mean rate(mm/yr)   95%CI_lower(mm/yr)   95%CI_upper(mm/yr) 
               14600             -12.2388             -18.8769              -6.5669 
               14575             -14.0578             -18.5095             -9.99574 
               14550             -14.0934             -18.0898             -10.0743 
               14525             -14.0767             -17.8912             -9.96232 
               14500             -14.2212             -18.3285             -10.2091 
               14475             -14.1211             -18.0549             -10.2308 
               14450             -14.0682             -18.0894             -10.1636 
               14425             -14.1187             -17.9022             -10.2599 
               14400             -14.1843             -18.4998             -10.4373 
               14375              -14.094             -17.8592             -9.89618 
               14350             -13.9836             -17.9985             -10.0221 
               14325             -14.0433             -18.2719             -10.0407 
               14300             -14.1829              -18.065             -10.0856 
               14275             -14.2446             -18.0993             -10.0353 
               14250             -13.9562             -18.1727             -9.69632 
               14225             -14.0546             -18.4395             -9.84831 
               14200             -14.0884             -18.1853             -10.0766 
               14175             -14.0131             -18.2804             -9.30829 
               14150             -14.0798             -18.6238             -9.31238 
               14125             -14.1271             -18.4393             -9.43452 
               14100             -14.3109             -18.5975             -9.49816 
               14075             -14.0055             -18.8315             -9.33428 
               14050             -13.9201              -18.376             -9.79413 
               14025             -14.1797             -19.2485             -9.73934 
               14000             -14.1303             -19.1689             -9.72688 
               13975             -14.1015             -19.0007             -9.61642 
               13950             -13.9796             -18.6212             -8.86726 
               13925             -13.9873             -18.9335             -8.96504 
               13900             -14.0218             -18.6434             -9.39903 
               13875             -14.1092             -18.8196              -9.2935 
               13850             -14.1586             -19.0509             -9.64885 
               13825             -14.1034             -18.8227             -8.98246 
               13800             -13.9449             -18.8053             -9.08613 
               13775             -14.2578             -19.2292             -9.39644 
               13750             -14.1301             -19.7521             -9.38681 
               13725             -14.1637             -19.3285             -9.42615 
               13700             -14.1292             -18.6714             -8.98132 
               13675             -14.0336             -19.0292             -9.60504 
               13650             -14.0696              -19.103             -9.31406 
               13625             -14.2409             -19.0312             -9.33358 
               13600             -14.1769             -18.7049             -8.65623 
               13575             -14.0865             -19.3115              -9.1348 
               13550             -14.0382             -18.9941             -9.41973 
               13525             -14.1769             -19.3827             -9.75074 
               13500             -13.9505             -18.7578             -9.22013 
               13475             -14.0497             -18.6005             -9.24633 
               13450             -14.1512             -19.0842             -9.00632 
               13425             -14.1571             -18.7282             -9.45664 
               13400             -14.1591             -18.8742             -9.30787 
               13375             -14.0157             -18.4594             -9.20118 
               13350             -13.9881             -18.0548             -9.59292 
               13325             -14.0245             -18.9688             -9.75421 
               13300             -14.2079             -18.2113             -9.02664 
               13275             -14.1447             -18.4153             -9.88756 
               13250             -13.9769             -17.8357             -9.57346 
               13225             -14.1909             -18.3788             -10.2217 
               13200              -14.066              -18.003               -9.937 
               13175             -13.5787             -17.3657             -9.24811 
               13150             -12.7961             -16.9394             -8.84304 
               13125              -11.955             -16.3679             -7.67281 
               13100             -11.1943             -15.8433              -6.7557 
               13075             -10.0753             -14.8588             -5.87891 
               13050             -8.65228             -12.9002              -5.3739 
               13025              -7.4461             -11.6909             -3.91642 
               13000             -6.86211             -10.9549             -3.76223 
               12975             -6.45345             -9.77664             -3.32166 
               12950             -6.09422             -8.92021             -3.27108 
               12925             -5.83073              -8.7831             -2.79441 
               12900             -5.75157             -8.74983               -2.669 
               12875             -5.83593             -8.94049             -2.60934 
               12850             -5.68168             -8.50587             -2.67632 
               12825             -5.72687             -8.85248             -2.26023 
               12800             -5.78854             -9.40514              -2.4467 
               12775              -5.6985             -9.23194             -2.28563 
               12750             -5.78363             -9.51091              -2.5792 
               12725             -5.69675             -9.46105             -2.23358 
               12700             -5.83738             -9.77489             -2.00678 
               12675             -5.72552             -9.47904             -2.11489 
               12650             -5.66958             -9.24488              -1.9037 
               12625             -5.60484             -9.52338             -1.95998 
               12600             -5.88832             -9.24382             -2.19942 
               12575             -5.78459             -9.83581              -2.2043 
               12550             -5.75816             -9.27695             -1.96748 
               12525             -5.77856             -9.35462             -2.38607 
               12500             -5.68815             -9.77753             -1.87626 
               12475             -5.84665              -10.027             -2.32072 
