         Cal_age(BP)           Mean SL(m)       95%CI_lower(m)       95%CI_upper(m) 
               14600               31.743              28.7091              34.5172 
               14575              31.4145              28.4237              34.1036 
               14550              30.9724              27.9524              33.5579 
               14525              30.5381              27.6558              33.0594 
               14500              30.1071              27.2847              32.5379 
               14475              29.6704               26.838               32.158 
               14450              29.2423              26.5578              31.5851 
               14425              28.8073              26.1131              31.0617 
               14400              28.3768              25.8366              30.6806 
               14375              27.9312              25.4086              30.1637 
               14350              27.5052              25.0711              29.7049 
               14325              27.0739              24.6823              29.2058 
               14300              26.6384              24.3011              28.7436 
               14275              26.2052              23.8886              28.1998 
               14250              25.7711              23.4804              27.7941 
               14225              25.3423              23.1075              27.2953 
               14200              24.9123               22.785              26.8271 
               14175              24.4713              22.4214              26.3947 
               14150              24.0399              22.0351              25.9054 
               14125              23.6103              21.7314              25.3589 
               14100              23.1713              21.2978              24.9173 
               14075              22.7323              20.8785              24.4532 
               14050              22.3113              20.4851              23.9975 
               14025              21.8785              20.1157              23.5328 
               14000              21.4465              19.7131              23.0457 
               13975              21.0078              19.3525               22.561 
               13950              20.5724               18.905              22.0563 
               13925              20.1446              18.5667              21.7237 
               13900              19.7097              18.2679                21.22 
               13875              19.2811               17.885              20.7442 
               13850              18.8447              17.4795               20.293 
               13825              18.4132              17.1268              19.8606 
               13800              17.9796              16.7159              19.3599 
               13775              17.5487              16.3368              18.8894 
               13750              17.1134              15.9417              18.4373 
               13725              16.6804              15.5319               17.948 
               13700               16.245              15.1157              17.4831 
               13675              15.8124              14.7236              16.9984 
               13650              15.3824              14.3395              16.4896 
               13625              14.9451               13.837              16.0389 
               13600              14.5088              13.4631              15.6327 
               13575              14.0809                13.06               15.161 
               13550              13.6508              12.6886              14.6879 
               13525              13.2137              12.2185              14.2514 
               13500              12.7845              11.8155              13.8131 
               13475              12.3486              11.4603              13.3783 
               13450              11.9235              10.9902              12.9023 
               13425              11.4846              10.5669                12.55 
               13400              11.0557              10.1076              12.0632 
               13375              10.6198              9.66573                11.61 
               13350              10.1873              9.22523              11.1526 
               13325              9.75446              8.79051              10.7876 
               13300              9.32038              8.31494              10.3974 
               13275              8.88415              7.91561              9.97944 
               13250               8.4552               7.4302              9.52773 
               13225              8.02123              6.89918              9.12998 
               13200              7.59072              6.43361              8.70273 
               13175              7.15783              6.02212              8.31374 
               13150               6.7462              5.58542              7.92268 
               13125              6.36742              5.25868              7.56142 
               13100              6.00107              4.87825               7.1741 
               13075              5.67309              4.57609              6.78069 
               13050              5.38354              4.40777              6.40482 
               13025              5.13571              4.22217              6.09862 
               13000               4.9166              4.07181              5.80133 
               12975              4.71375              3.90964              5.57079 
               12950              4.52552              3.70241              5.36204 
               12925              4.34626              3.57559              5.10388 
               12900              4.16693              3.37751              4.86461 
               12875              3.99016              3.25467              4.70617 
               12850               3.8181              3.08458              4.53923 
               12825              3.63684              2.93064              4.32211 
               12800               3.4614              2.80299              4.14645 
               12775              3.28512               2.6206              3.96888 
               12750               3.1073              2.48304              3.74998 
               12725              2.93004              2.36624               3.5899 
               12700              2.75337              2.15457              3.35318 
               12675               2.5746              1.99488              3.17299 
               12650              2.39583              1.83933              3.00392 
               12625              2.22926              1.71288              2.83994 
               12600              2.05018              1.51453              2.61624 
               12575              1.86875              1.35901              2.40786 
               12550              1.69239              1.14447              2.23825 
               12525              1.51598              1.03343              2.01097 
               12500              1.33952             0.890383              1.84363 
               12475               1.1661             0.715465              1.64831 
               12450             0.984379             0.527962              1.45583 
               12425             0.814332              0.36655              1.25972 
               12400             0.631384             0.201228              1.10179 
               12375             0.456205            0.0382536              0.89637 
               12350             0.278551            -0.138456             0.732657 
               12325             0.106349            -0.294445             0.526952 
               12300           -0.0731617            -0.481909              0.32776 
               12275            -0.250474            -0.660361              0.16016 
               12250            -0.424145            -0.834969           -0.0571065 
               12225            -0.604562             -1.00676             -0.21539 
               12200            -0.778108             -1.19169            -0.410282 
               12175            -0.955963             -1.38207            -0.573092 
               12150             -1.13345              -1.5922            -0.764177 
               12125             -1.31107              -1.7379             -0.91537 
               12100             -1.47883             -1.87487             -1.12395 
               12075             -1.64196              -2.0051             -1.29046 
               12050             -1.80319             -2.18897             -1.45531 
               12025             -1.95482             -2.29107             -1.62181 
               12000             -2.10012             -2.45979             -1.76263 
               11975             -2.22422             -2.55927             -1.87233 
               11950             -2.33834             -2.64185             -2.00256 
               11925             -2.42417             -2.71222             -2.10975 
               11900             -2.49856             -2.78011             -2.21814 
               11875             -2.55824             -2.84321             -2.27856 
               11850               -2.613             -2.88756             -2.34887 
               11825             -2.66617             -2.91288             -2.41233 
               11800             -2.71644             -2.96493               -2.463 
               11775             -2.76358             -3.02592             -2.49745 
               11750              -2.8138             -3.07374               -2.543 
               11725              -2.8668             -3.13876             -2.59917 
               11700             -2.91788             -3.17172             -2.65646 
               11675              -2.9627             -3.21576             -2.71437 
               11650             -3.01334             -3.27242              -2.7492 
               11625             -3.06203             -3.32837             -2.80426 
               11600             -3.11165              -3.3782             -2.87842 
               11575             -3.15794              -3.4108             -2.91996 
               11550             -3.20848             -3.44692             -2.95564 
               11525             -3.26949             -3.51467              -3.0064 
               11500             -3.31611              -3.5531              -3.0684 
               11475             -3.35753             -3.61616             -3.11334 
               11450             -3.41086             -3.66064             -3.13929 
               11425             -3.46209             -3.70287             -3.21329 
               11400             -3.50592             -3.75276              -3.2678 
               11375             -3.56166             -3.81157             -3.31505 
               11350             -3.60948             -3.85499             -3.37623 
               11325             -3.65988             -3.89297             -3.43137 
               11300             -3.71154              -3.9368             -3.47529 
               11275             -3.75673             -4.01303             -3.50982 
               11250             -3.80954             -4.04023             -3.54966 
               11225             -3.85689              -4.0836             -3.60945 
               11200             -3.90602             -4.12067             -3.66162 
               11175             -3.96029             -4.18543             -3.72937 
               11150             -4.00453             -4.23453             -3.78118 
               11125             -4.05485             -4.28068             -3.82575 
               11100              -4.1062              -4.3564             -3.87162 
               11075             -4.15854              -4.3824             -3.91706 
               11050              -4.2112             -4.41741             -3.97634 
               11025             -4.25714             -4.48819             -4.04196 
               11000             -4.30388             -4.53539             -4.07052 
               10975             -4.35238             -4.56619             -4.13214 
               10950             -4.40539             -4.62044             -4.19795 
               10925             -4.45484             -4.68684              -4.2298 
               10900             -4.50194             -4.69964             -4.27451 
               10875             -4.54801             -4.74162             -4.31467 
               10850             -4.60592             -4.82625             -4.37924 
               10825             -4.65475             -4.88004             -4.43099 
               10800             -4.70246             -4.90334             -4.46114 
               10775             -4.75699             -4.97374             -4.52712 
               10750             -4.80187             -5.00638             -4.58743 
               10725             -4.85486             -5.06537             -4.65493 
               10700             -4.89999             -5.10903             -4.69395 
               10675             -4.95114             -5.15206                -4.75 
               10650             -5.00521             -5.21508             -4.81456 
               10625             -5.05161             -5.25401             -4.86776 
               10600             -5.09726             -5.28822             -4.88784 
               10575             -5.14503             -5.34513             -4.93542 
               10550             -5.20053             -5.37918             -4.98896 
               10525             -5.24663             -5.42711             -5.05539 
               10500             -5.29324             -5.46553             -5.10455 
               10475             -5.34989             -5.53585             -5.14446 
               10450             -5.39669             -5.58653             -5.20466 
               10425             -5.45119             -5.64277             -5.24534 
               10400             -5.49385             -5.66813             -5.30549 
               10375             -5.54879             -5.74907             -5.34949 
               10350             -5.59956             -5.78864             -5.40531 
               10325             -5.64837             -5.84236             -5.45769 
               10300             -5.69835             -5.86635             -5.50771 
               10275             -5.74704             -5.92574             -5.55976 
               10250             -5.79442             -5.96064             -5.62109 
               10225             -5.84704              -6.0216             -5.68273 
               10200             -5.89656             -6.06732             -5.71134 
               10175             -5.94681              -6.1058             -5.77205 
               10150             -5.99276              -6.1634                -5.83 
               10125             -6.03986             -6.19872             -5.86679 
               10100             -6.08006             -6.24092             -5.90822 
               10075             -6.10749             -6.26795             -5.94973 
               10050             -6.11813             -6.27523             -5.95679 
               10025             -6.12666             -6.30204             -5.94309 
               10000             -6.13714             -6.32355             -5.91845 
                9975             -6.14088             -6.33693             -5.90278 
                9950             -6.14657             -6.37178             -5.89314 
                9925             -6.14728             -6.39559             -5.85238 
                9900             -6.14133             -6.44562             -5.81024 
                9875             -6.12445             -6.47498              -5.7513 
                9850             -6.10478             -6.48616             -5.71085 
                9825             -6.08254             -6.52376             -5.66232 
                9800             -6.06025             -6.52565             -5.56393 
                9775             -6.04305             -6.54223             -5.54139 
                9750             -6.02085             -6.55686             -5.45145 
                9725             -5.99105             -6.58058             -5.40329 
                9700             -5.95128             -6.55955             -5.37317 
                9675             -5.89535             -6.44149             -5.28014 
                9650             -5.83156             -6.40805             -5.21775 
                9625              -5.7656             -6.35832             -5.15144 
                9600             -5.69496             -6.29765              -5.0457 
                9575             -5.62934             -6.23574             -4.97015 
                9550             -5.56975             -6.25254             -4.86812 
                9525             -5.50137             -6.26879             -4.72582 
                9500             -5.43473             -6.21371             -4.59513 
                9475             -5.37435             -6.25933             -4.48453 
                9450             -5.31294             -6.22833             -4.35378 
                9425             -5.25255             -6.20363             -4.24363 
                9400             -5.18965              -6.2157             -4.15223 
                9375             -5.12931             -6.20664             -4.07055 
                9350             -5.06917             -6.18383             -3.95637 
                9325             -5.00568              -6.1145             -3.90946 
                9300             -4.93917             -6.06365             -3.86452 
                9275             -4.86617             -5.99579             -3.79916 
                9250             -4.78719             -5.91687             -3.71087 
                9225             -4.69657              -5.7798             -3.65636 
                9200             -4.59016             -5.63581             -3.60382 
